,Lyrics,URL
178,White Shadows [DVD],/lyric/9953673/Coldplay/White+Shadows+%5BDVD%5D
179,Speed of Sound [DVD],/lyric/8756611/Coldplay/Speed+of+Sound+%5BDVD%5D
180,Fix You [*],/lyric/10195243/Coldplay/Fix+You+%5B%2A%5D
181,Hardest Part,/lyric/10459872/Coldplay/Hardest+Part
182,Fix You [Edit],/lyric/18420090/Coldplay/Fix+You+%5BEdit%5D
183,Fix You [Multimedia Track],/lyric/8638293/Coldplay/Fix+You+%5BMultimedia+Track%5D
184,World Turned Upside Down,/lyric/10600547/Coldplay/World+Turned+Upside+Down
185,Scientist,/lyric/19272945/Coldplay/Scientist
186,Speed of Sound [Instrumental],/lyric/9004164/Coldplay/Speed+of+Sound+%5BInstrumental%5D
187,Speed of Sound [Vocal Multiplex Version],/lyric/9004175/Coldplay/Speed+of+Sound+%5BVocal+Multiplex+Version%5D
188,Proof,/lyric/32662663/Coldplay/Proof
189,Talk [Album Version],/lyric/8640867/Coldplay/Talk+%5BAlbum+Version%5D
190,Talk [Francois K Dub],/lyric/15570986/Coldplay/Talk+%5BFrancois+K+Dub%5D
191,Sleeping Sun,/lyric/36574804/Coldplay/Sleeping+Sun
192,Square One [Live in Holland] [Live],/lyric/8640868/Coldplay/Square+One+%5BLive+in+Holland%5D+%5BLive%5D
193,Swallowed in the Sea [Gelredome 2005],/lyric/10469201/Coldplay/Swallowed+in+the+Sea+%5BGelredome+2005%5D
194,Clocks [Live],/lyric/8640869/Coldplay/Clocks+%5BLive%5D
195,God Put a Smile Upon Your Face [Gelredome 2005],/lyric/10469202/Coldplay/God+Put+a+Smile+Upon+Your+Face+%5BGelredome+2005%5D
196,Speed of Sound [Multimedia Track],/lyric/8762211/Coldplay/Speed+of+Sound+%5BMultimedia+Track%5D
197,Message,/lyric/10459870/Coldplay/Message
198,Speed of Sound [Video],/lyric/32662561/Coldplay/Speed+of+Sound+%5BVideo%5D
199,Fix You [Video],/lyric/32662655/Coldplay/Fix+You+%5BVideo%5D
200,Talk [Video],/lyric/32662662/Coldplay/Talk+%5BVideo%5D
201,The Hardest Part [Video],/lyric/32662615/Coldplay/The+Hardest+Part+%5BVideo%5D
202,Til Kingdom Come [Hidden Track],/lyric/7732181/Coldplay/Til+Kingdom+Come+%5BHidden+Track%5D
203,Things I Don't Understand [DVD][*],/lyric/8992800/Coldplay/Things+I+Don%27t+Understand+%5BDVD%5D%5B%2A%5D
204,Proof [DVD][*],/lyric/8992801/Coldplay/Proof+%5BDVD%5D%5B%2A%5D
205,The World Turned Upside Down [DVD][*],/lyric/8992802/Coldplay/The+World+Turned+Upside+Down+%5BDVD%5D%5B%2A%5D
206,Sleeping Sun [DVD][*],/lyric/8992804/Coldplay/Sleeping+Sun+%5BDVD%5D%5B%2A%5D
207,Speed of Sound [DVD][*],/lyric/8992806/Coldplay/Speed+of+Sound+%5BDVD%5D%5B%2A%5D
208,Pyramid Song,/lyric/7026495/Coldplay/Pyramid+Song
209,We're All in Love,/lyric/33735976/Coldplay/We%27re+All+in+Love
210,Trouble [Live],/lyric/6593322/Coldplay/Trouble+%5BLive%5D
211,Yellow [Live],/lyric/4943776/Coldplay/Yellow+%5BLive%5D
212,Animals,/lyric/6723010/Coldplay/Animals
213,Clocks [Edit] [Edit],/lyric/6576180/Coldplay/Clocks+%5BEdit%5D+%5BEdit%5D
214,In My Place [Live] [Live],/lyric/6576184/Coldplay/In+My+Place+%5BLive%5D+%5BLive%5D
215,Yellow [Live] [Live],/lyric/6576185/Coldplay/Yellow+%5BLive%5D+%5BLive%5D
216,Clocks [Video],/lyric/6576186/Coldplay/Clocks+%5BVideo%5D
217,In My Place [Video] [Multimedia Track],/lyric/6576187/Coldplay/In+My+Place+%5BVideo%5D+%5BMultimedia+Track%5D
